,id,no_parte,description,id_color,color_code
,102400001,415.D,KOMBI FS,0,Code:041
,102400011,416TL,KOMBI FS,0,Code:041
,102400005,415.F/G,KOMBI FS,1,Code:8Z6
,102400014,416.B,KOMBI BLENDE,1,Code:8Z6
,102400020,416.D,KOMBI BLENDE,1,Code:8Z6
,102400023,O61 / 439B,Door TIB,1,Code:8Z6
,102400025,O62 / 440D,Door TIB,1,Code:8Z6
,102400027,O62A / 440E,Door TIB,1,Code:8Z6
,10240006,415.F/G,KOMBI FS,3,Code:3LB
,,416.B,KOMBI BLENDE,3,Code:3LB
,102400018,416.D,KOMBI BLENDE,3,Code:3LB
,102400024,O61 / 439B,Door TIB,3,Code:3LB
,102400028,O62.A / 440E,Door TIB,3,Code:3LB
,102400002,415.E,KOMBI FS,2,Code:7N5
,102400009,415.F/G,KOMBI FS,2,Code:7N5
,102400012,416.A,KOMBI BLENDE,2,Code:7N5
,102400017,416C,KOMBI BLENDE,2,Code:7N5
,102400013,416.D,KOMBI BLENDE,2,Code:7N5
,102400022,061 / 439B,Door TIB,2,Code:7N5
,102400026,062 / 440D,Door TIB,2,Code:7N5
,102400029,439A / 439,Door TIB,2,Code:7N5
,102400030,440A / 440,Door TIB,2,Code:7N5
,102400031,440C / 440B,Door TIB,2,Code:7N5
,102400003,415.E,KOMBI FS,4,Code:7P7
,102400015,416.C,a,4,Code:7P7
,102400032,439A / 439,Door TIB,4,Code:7P7
,102400033,440C / 440B,Door TIB,4,Code:7P7
,102400004,415.E(H),KOMBI FS,5,Code:9D9
,102400040,415.F/G(H),KOMBI FS,5,Code:9D9
,102400016,416.C (J),KOMBI BLENDE,5,Code:9D9
,102400041,416.D(J),KOMBI BLENDE,5,Code:9D9
,102400034,439A / 439,Door TIB,5,Code:9D9
,102400035,440C / 440B,Door TIB,5,Code:9D9
,102400038,061/  439B,Door TIB,5,Code:9D9
,102400039,062A / 440E,Door TIB,5,Code:9D9
,102400007,415.F/G,KOMBI FS,6,Code:3LC
,102400019,416.D (E),KOMBI BLENDE,6,Code:3LC
,102400036,061/  439B,Door TIB,6,Code:3LC
,102400037,062A / 440E,Door TIB,6,Code:3LC
