Pintado,EA,full_no_parte,no_parte-1,no_parte-2,no_parte-3,no_parte-4,no_parte-5,color,description,Base,g-base,Tiner 1,g-T1,Tiner 2,g-T2,Tiner 3,g-T3,Catalizador,g-C
102400001, EA ,2GJ.858.415.001,2GJ,858,415,1,,PAINTED PIANO BLACK, VISOR PINTADO FS TL PIANO BLACK,Piano Black,0.023331,901-B9,0.004666667,901-86,0.004666667,909-1N,0.002333333,ALEXIT Härter 405-96,0.010606060606061
102400002, EA ,2GJ.858.415.002,2GJ,858,415,2,,PAINTED DARK BLUE, VISOR PINTADO FS CL DARK BLUE,Dark Blue,0.023331,901-86,0.008166666666667,,,,,ALEXIT Härter 450,0.010606060606061
102400003, EA ,2GJ.858.415.002,2GJ,858,415,2,,PAINTED DARK MARINE, VISOR PINTADO FS CL DARK MARINE,Dark Marine,0.024975,901-86,0.020025,,,,,ALEXIT Härter 450,0.0025
102400004, EA ,2GJ.858.415.002,2GJ,858,415,2,,PAINTED CAPUCCINO BEIGE, VISOR PINTADO FS CL CAPUCCINO BEIGE,Cappuccino Beige,0.0359964,903-89,0.0179982,,,,,ALEXIT Härter 450,0.00359964
102400005, EA ,2GJ.858.415.003,2GJ,858,415,3,,PAINTED CARIBOU GRAY, VISOR PINTADO FS HL & CL CARIBOU GRAY,Caribou Gray,0.031550178,901-86,0.011042562,903-89,0.0047325267,,,ALEXIT Härter 450,0.0031550178
102400006, EA ,2GJ.858.415.003,2GJ,858,415,3,,PAINTED DEEP IRON, VISOR PINTADO FS HL & CL DEEP IRON,Deep Iron,0.03333,903-89,0.016665,,,,,ALEXIT Härter 450,0.003333
102400007, EA ,2GJ.858.415.003,2GJ,858,415,3,,PAINTED ENERGETIC ORANGE, VISOR PINTADO FS HL & CL ENERGETIC ORANGE,Energetic Orange,0.0359964,903-89,0.029997,,,,,ALEXIT Härter 450,0.00359964
102400008, EA ,2GJ.858.415.003,2GJ,858,415,3,,PAINTED PIANO BLACK, VISOR PINTADO FS HL & CL PIANO BLACK,Piano Black,0.023331,901-B9,0.004666667,901-86,0.004666667,909-1N,0.002333333,ALEXIT Härter 405-96,0.010606060606061
102400009, EA ,2GJ.858.415.003,2GJ,858,415,3,,PAINTED DARK BLUE, Visor FS HL & CL PINTADO DARK BLUE,Dark Blue,0.023331,901-86,0.008166666666667,,,,,ALEXIT Härter 450,0.010606060606061
102400011, EA ,2GJ.858.416.001,2GJ,858,416,1,,PAINTED PIANO BLACK, VISOR PINTADO BFS 6.5 TL PIANO BLACK,Piano Black,0.058,901-B9,0.007733333,901-86,0.007733333,909-1N,0.003866667,ALEXIT Härter 405-96,0.019333333333333
102400012, EA ,2GJ.858.416.A.002,2GJ,858,416,A,2,PAINTED DARK BLUE, VISOR PINTADO BFS CL 8.0 DARK BLUE,Dark Blue,0.03621375,901-86,0.02903625,,,,,ALEXIT Härter 450,0.003625
102400013, EA ,2GJ.858.416.B.003,2GJ,858,416,B,3,PAINTED DARK BLUE, VISOR PINTADO BFS HL 8.0 DARK BLUE,Dark Blue,0.03621375,901-86,0.02903625,,,,,ALEXIT Härter 450,0.003625
102400014, EA ,2GJ.858.416.B.003,2GJ,858,416,B,3,PAINTED CARIBOU GRAY, VISOR PINTADO BFS CL 8.0  CARIBOU GRAY,Caribou Gray,0.053328,901-86,0.0186648,903-89,0.0079992,,,ALEXIT Härter 450,0.0053328
102400015, EA ,2GJ.858.416.C.004,2GJ,858,416,C,4,PAINTED DARK MARINE, VISOR PINTADO BFS CL 10.0 DARK MARINE,Dark Marine,0.0374625,901-86,0.0300375,,,,,ALEXIT Härter 450,0.00375
102400016, EA ,2GJ.858.416.C.004,2GJ,858,416,C,4,PAINTED CAPUCCINO BEIGE, VISOR PINTADO BFS CL 10.0 CAPUCCINO BEIGE,Cappuccino Beige,0.0513282,903-89,0.0256641,,,,,ALEXIT Härter 450,0.00513282
102400017, EA ,2GJ.858.416.C.004,2GJ,858,416,C,4,PAINTED DARK BLUE, VISOR PINTADO BFS CL 10.0 DARK BLUE,Dark Blue,0.03621375,901-86,0.02903625,,,,,ALEXIT Härter 450,0.003625
102400018, EA ,2GJ.858.416.D.005,2GJ,858,416,D,5,PAINTED DEEP IRON, VISOR PINTADO BFS HL 10.0 DEEP IRON,Deep Iron,0.0513282,903-89,0.0256641,,,,,ALEXIT Härter 450,0.0053282
102400019, EA ,2GJ.858.416.D.005,2GJ,858,416,D,5,PAINTED ENERGETIC ORANGE, VISOR PINTADO BFS HL 10.0 ENERGETIC ORANGE,Energetic Orange,0.059994,903-89,0.029997,,,,,ALEXIT Härter 450,0.0059994
102400020, EA ,2GJ.858.416.D.005,2GJ,858,416,D,5,PAINTED CARIBOU GRAY, VISOR PINTADO BFS HL 10.0 CARIBOU GRAY,Caribou Gray,0.053328,901-86,0.026664,903-89,0.0079992,,,ALEXIT Härter 450,0.0053328
102400021, EA ,2GJ.858.416.D.005,2GJ,858,416,D,5,PAINTED PIANO BLACK, VISOR PINTADO BFS HL 10.0 PIANO BLACK,Piano Black,0.058,901-B9,0.007733333,901-86,0.007733333,909-1N,0.003866667,ALEXIT Härter 405-96,0.019333333333333
