Pintado,EA,full_no_parte,no_parte-1,no_parte-2,no_parte-3,no_parte-4,no_parte-5,color,description,Barniz,g-B,Tiner,g-T,Catalizador,g-C
102400001, EA ,2GJ.858.415.001,2GJ,858,415,1,,PAINTED PIANO BLACK, VISOR PINTADO FS TL PIANO BLACK,ALEXIT HighGloss Clearcoat 460-SR,0.025,903-89,0.025,ALEXIT Härter 405-96,0.016666666666667
102400002, EA ,2GJ.858.415.002,2GJ,858,415,2,,PAINTED DARK BLUE, VISOR PINTADO FS CL DARK BLUE,ALEXIT HighGloss Clearcoat 460-SR,0.01925,903-89,0.01925,ALEXIT Härter 405-96,0.012833333333333
102400003, EA ,2GJ.858.415.002,2GJ,858,415,2,,PAINTED DARK MARINE, VISOR PINTADO FS CL DARK MARINE,ALEXIT HighGloss Clearcoat 460-SR,0.02183,903-89,0.02183,ALEXIT Härter 405-96,0.012833333333333
102400004, EA ,2GJ.858.415.002,2GJ,858,415,2,,PAINTED CAPUCCINO BEIGE, VISOR PINTADO FS CL CAPUCCINO BEIGE,ALEXIT HighGloss Clearcoat 460-SR,0.02975,903-89,0.02975,ALEXIT Härter 405-96,0.019833333333333
102400005, EA ,2GJ.858.415.003,2GJ,858,415,3,,PAINTED CARIBOU GRAY, VISOR PINTADO FS HL & CL CARIBOU GRAY,,,,,,
102400006, EA ,2GJ.858.415.003,2GJ,858,415,3,,PAINTED DEEP IRON, VISOR PINTADO FS HL & CL DEEP IRON,,,,,,
102400007, EA ,2GJ.858.415.003,2GJ,858,415,3,,PAINTED ENERGETIC ORANGE, VISOR PINTADO FS HL & CL ENERGETIC ORANGE,,,,,,
102400008, EA ,2GJ.858.415.003,2GJ,858,415,3,,PAINTED PIANO BLACK, VISOR PINTADO FS HL & CL PIANO BLACK,,,,,,
102400009, EA ,2GJ.858.415.003,2GJ,858,415,3,,PAINTED DARK BLUE, Visor FS HL & CL PINTADO DARK BLUE,,,,,,
102400011, EA ,2GJ.858.416.001,2GJ,858,416,1,,PAINTED PIANO BLACK, VISOR PINTADO BFS 6.5 TL PIANO BLACK,ALEXIT HighGloss Clearcoat 460-SR,0.0439956,903-89,0.0219978,ALEXIT Härter 405-96,0.022
102400012, EA ,2GJ.858.416.A.002,2GJ,858,416,A,2,PAINTED DARK BLUE, VISOR PINTADO BFS CL 8.0 DARK BLUE,,,,,,
102400013, EA ,2GJ.858.416.B.003,2GJ,858,416,B,3,PAINTED DARK BLUE, VISOR PINTADO BFS HL 8.0 DARK BLUE,ALEXIT HighGloss Clearcoat 460-SR,0.0439956,903-89,0.0219978,ALEXIT Härter 405-96,0.022
102400014, EA ,2GJ.858.416.B.003,2GJ,858,416,B,3,PAINTED CARIBOU GRAY, VISOR PINTADO BFS CL 8.0  CARIBOU GRAY,,,,,,
102400015, EA ,2GJ.858.416.C.004,2GJ,858,416,C,4,PAINTED DARK MARINE, VISOR PINTADO BFS CL 10.0 DARK MARINE,ALEXIT HighGloss Clearcoat 460-SR,0.0426624,903-89,0.0213312,ALEXIT Härter 405-96,0.021333333333333
102400016, EA ,2GJ.858.416.C.004,2GJ,858,416,C,4,PAINTED CAPUCCINO BEIGE, VISOR PINTADO BFS CL 10.0 CAPUCCINO BEIGE,ALEXIT HighGloss Clearcoat 460-SR,0.04416225,903-89,0.022081125,ALEXIT Härter 405-96,0.022083333333333
102400017, EA ,2GJ.858.416.C.004,2GJ,858,416,C,4,PAINTED DARK BLUE, VISOR PINTADO BFS CL 10.0 DARK BLUE,ALEXIT HighGloss Clearcoat 460-SR,0.0439956,903-89,0.0219978,ALEXIT Härter 405-96,0.022
102400018, EA ,2GJ.858.416.D.005,2GJ,858,416,D,5,PAINTED DEEP IRON, VISOR PINTADO BFS HL 10.0 DEEP IRON,,,,,,
102400019, EA ,2GJ.858.416.D.005,2GJ,858,416,D,5,PAINTED ENERGETIC ORANGE, VISOR PINTADO BFS HL 10.0 ENERGETIC ORANGE,,,,,,
102400020, EA ,2GJ.858.416.D.005,2GJ,858,416,D,5,PAINTED CARIBOU GRAY, VISOR PINTADO BFS HL 10.0 CARIBOU GRAY,ALEXIT HighGloss Clearcoat 460-SR,0.00925,903-89,0.00925,ALEXIT Härter 405-96,0.006166666666667
102400021, EA ,2GJ.858.416.D.005,2GJ,858,416,D,5,PAINTED PIANO BLACK, VISOR PINTADO BFS HL 10.0 PIANO BLACK,ALEXIT HighGloss Clearcoat 460-SR,0.00925,903-89,0.00925,ALEXIT Härter 405-96,0.006166666666667
